Model,precision,recall,f1_macro,f1_micro,roc_auc,pr_auc,mcc,balanced_accuracy
LogisticRegression_SMOTE,0.057194371584683136,0.906166828951639,0.5471715481572604,0.9739296451535034,0.9806883549010699,0.7747791453913931,0.22393378600040842,0.9401069963883619
LogisticRegression_ADASYN,0.02020506162217244,0.9442388834793898,0.49890850107035123,0.9200377449581953,0.9782638408904113,0.7780700410662361,0.1316339475787035,0.9321174438036796
LogisticRegression_RUS,0.037426835894072946,0.9213891593638429,0.525101313808378,0.9577212578726766,0.9816293316147121,0.6606816736776389,0.18043033695097918,0.9395867245238113
RandomForest_SMOTE,0.8720976669633386,0.7944173969490425,0.9147357128760824,0.9994382145756984,0.9714365886408654,0.84257634351745,0.8312255464046613,0.8971053796918674
RandomForest_ADASYN,0.8716656639516229,0.7817267121064588,0.9113436538575066,0.999420658781189,0.9715592779827228,0.8325302051425878,0.8245488680999271,0.890762235555913
RandomForest_RUS,0.05271855388690914,0.9138266796494644,0.5422309889937681,0.9705018762755382,0.9802190858701441,0.7771632919679474,0.21459385321635285,0.9422134821727806
XGBoost_CostSensitive,0.6335405794227525,0.8249269717624148,0.8567494659745771,0.9988500954596325,0.9783733871391262,0.8257360709217145,0.7210531205521569,0.9120392193239052
MLP_CostSensitive,0.24171512844470847,0.8935086011035379,0.6783784331553282,0.9929689042989752,0.9750421485506523,0.7852792637245454,0.4453828055180031,0.9433249867813952
